ID,Term,Topic #1,Topic #2,Topic #3,Topic #4,Synonym #1,Synonym #2,Synonym #3,Synonym #4,Synonym #5,Synonym #6,Synonym #7,Synonym #8,Synonym #9,Synonym #10,Synonym #11,Synonym #12,Definition #1,Definition #2,Definition #3,Definition #4
6445,adaptation,Biological diversity,Land and Agriculture,,,adaptation measure,acclimatisation,acclimatization, acclimation,,,,,,,,,"Adjustment in natural or human systems to a new or changing environment.  (Source: IPPC,4th Assessment Report,WG II, Appendix 1, Glossary, 2007)",,,
6165,adverse effect,Chemicals and Waste,,,,adverse impact,hazardous characteristic,harmful impact,harmful effect,,,,,,,,,"Changes in the physical environment or biota, including changes in climate, which have significant deleterious effects on human health or on the composition, resilience or productivity of natural and managed ecosystems, or on materials useful to mankind. (Source: Vienna Convention, Art. 1 Definitions, 1985)",,,
6047,disease,Biological diversity,Land and Agriculture,,,pathogen,pest,crop disease,,,,,,,,,,"1) A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual. The concept comprises any disease-producing agent or microorganism. (Source: GEMET/KOREN) 2) Any organism that damages crops, injures or irritates livestock or man, or reduces the fertility of land. (Source: GEMET/Koren)",,,
5984,agriculture,Land and Agriculture,,,,,,,,,,,,,,,,"The production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock. (Source: GEMET/MGH)",,,
6424,agricultural practice,Land and Agriculture,,,,farming practice,farming system,farming technique,,,,,,,,,,"The business, art, or skill of agriculture. (Source: GEMET/CED)",,,
6207,agroforestry,Biological diversity,Land and Agriculture,,,agro-forestry,agro-sylviculture,silvo-pastoralism,,,,,,,,,,"The interplanting of farm crops and trees, especially leguminous species. In semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time. (Source: GEMET/ ALL)",,,
6048,non-timber product,Biological diversity,Land and Agriculture,,,NTFP,,,,,,,,,,,,"Non-timber forest products (NTFPs) are any product or service other than timber that is produced in forests. They include fruits and nuts, vegetables, fish and game, medicinal plants, resins, essences and a range of barks and fibres such as bamboo, rattans, and a host of other palms and grasses. (Source: CIFOR)",,,
6345,cooperative farming,Land and Agriculture,,,,agricultural cooperative,,,,,,,,,,,,"A cooperative is an autonomous association of women and men, who unite voluntarily to meet their common economic, social and cultural needs [...], a business enterprise that seeks to strike a balance between pursuing profit and meeting the needs and interests of members and their communities. Cooperatives [...]. (Source: FAO, Agricultural cooperatives: paving the way for food security and rural development, 2012)",,,
6219,dry farming,Land and Agriculture,,,,arid region agriculture,desert farming,dryland agriculture,arid zone agriculture,,,,,,,,,"A system of extensive agriculture allowing the production of crops without irrigation in areas of limited rainfall. Dry farming involves conserving soil moisture through mulching, frequent fallowing, maintenance of a fine tilth by cross-ploughing, repeated working of the soil after rainfall and removal of any weeds that would take up some of the moisture. (Source: GEMET/GOOD)",,,
6078,intensive farming,Land and Agriculture,,,,extensive farming,factory farming,large scale farming,agricultural intensification,,,,,,,,,Farming in which as much use is made of the land as possible by growing crops close together or by growing several crops in a year or by using large amounts of fertilizers. (Source: GEMET/PHC) ,,,
6181,livestock farming,Land and Agriculture,,,,animal husbandry,pastoralism,ranching,,,,,,,,,,"Breeding of cattle, horses and similar animals. (Source: GEMET/CEDa)",,,
6344,organic farming,Land and Agriculture,,,,ecological farming,,,,,,,,,,,,Farming without the use of industrially made fertilizers or pesticides. (Source: GEMET/ALL) ,,,
6079,overgrazing,Land and Agriculture,,,,,,,,,,,,,,,,"Intensive grazing by animals on an area of land, particularly rangelands and grasslands, such that vegetation is damaged and the soil becomes liable to erosion by wind and rain, sometimes resulting in desertification. The main pressures leading to widespread overgrazing have been the need to increase the size and numbers of domestic herds to produce more food for an increasing human population, and the transformation of traditional pasture land into plantations to grow cash crops. (Source: GEMET/WRIGHT) ",,,
6343,plant production,Land and Agriculture,,,,crop management,crop production,plant cultivation,plant product,plant material,germplasm,cultivated plant,,,,,,The act or process of yielding produce from farmland for livestock or human consumption. (Source: GEMET/RHW / AGP) ,,,
6046,plant protection,Land and Agriculture,,,,plant health,,,,,,,,,,,,"Plant protection is the science and practice of managing pests, diseases and weeds that damage crops and other plants, and which can have a devastating effect on farmer livelihoods. (Source: CABI)",,,
6292,phytosanitary measure,Land and Agriculture,,,,phytosanitary certification,plant pest control,integrated pest control,,,,,,,,,,"Any legislation, regulation or official procedure having the purpose to prevent the introduction or spread of quarantine pests, or to limit the economic impact of regulated non-quarantine pests. (Source: ISPM 4, 1995; revised IPPC, 1997; ICPM, 2002)",,,
6073,plant variety,Land and Agriculture,,,,,,,,,,,,,,,,"'Variety' means a plant grouping, within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics. (Source: Art. 2, ITPGRFA)","An assemblage of cultivated plants that are distinguished by any characteristics (morphology, physiology, etc.) significant for purposes of horticulture, agriculture or forestry. (Source: GEMET/DUNSTE)","Within a species there can be a wide range of different types of plant. Farmers and growers need plants with particular characteristics and that are adapted to their environment and their cultivation practices. A plant variety represents a more precisely defined group of plants, selected from within a species, with a common set of characteristics. (Source: UPOV-FAQ)",
